,CUXHAVEN,MAASSLUIS,VLISSINGEN,HOEK,DEN,DELFZIJL,HARLINGEN,IJMUIDEN
1843-01-01,7093,,,,,,,
1843-02-01,6688,,,,,,,
1843-03-01,6493,,,,,,,
1843-04-01,6723,,,,,,,
1843-05-01,6533,,,,,,,
1843-06-01,6818,,,,,,,
1843-07-01,6893,,,,,,,
1843-08-01,6793,,,,,,,
1843-09-01,6883,,,,,,,
1843-10-01,7073,,,,,,,
1843-11-01,6958,,,,,,,
1843-12-01,7033,,,,,,,
1844-01-01,7008,,,,,,,
1844-02-01,6783,,,,,,,
1844-03-01,6788,,,,,,,
1844-04-01,6738,,,,,,,
1844-05-01,6683,,,,,,,
1844-06-01,6968,,,,,,,
1844-07-01,6928,,,,,,,
1844-08-01,7068,,,,,,,
1844-09-01,6758,,,,,,,
1844-10-01,6918,,,,,,,
1844-11-01,6718,,,,,,,
1844-12-01,6313,,,,,,,
1845-01-01,6763,,,,,,,
1845-02-01,6688,,,,,,,
1845-03-01,6653,,,,,,,
1845-04-01,6638,,,,,,,
1845-05-01,6738,,,,,,,
1845-06-01,6778,,,,,,,
1845-07-01,6798,,,,,,,
1845-08-01,6923,,,,,,,
1845-09-01,6908,,,,,,,
1845-10-01,7063,,,,,,,
1845-11-01,6938,,,,,,,
1845-12-01,7238,,,,,,,
1846-01-01,6848,,,,,,,
1846-02-01,7183,,,,,,,
1846-03-01,6948,,,,,,,
1846-04-01,6743,,,,,,,
1846-05-01,6773,,,,,,,
1846-06-01,6803,,,,,,,
1846-07-01,6963,,,,,,,
1846-08-01,6793,,,,,,,
1846-09-01,6853,,,,,,,
1846-10-01,6823,,,,,,,
1846-11-01,6698,,,,,,,
1846-12-01,6858,,,,,,,
1847-01-01,6523,,,,,,,
1847-02-01,6883,,,,,,,
1847-03-01,6743,,,,,,,
1847-04-01,6823,,,,,,,
1847-05-01,6718,,,,,,,
1847-06-01,6818,,,,,,,
1847-07-01,6818,,,,,,,
1847-08-01,6738,,,,,,,
1847-09-01,7033,,,,,,,
1847-10-01,6758,,,,,,,
1847-11-01,6863,,,,,,,
1847-12-01,6553,,,,,,,
1848-01-01,6208,6245.0,,,,,,
1848-02-01,6868,6880.0,,,,,,
1848-03-01,6628,6700.0,,,,,,
1848-04-01,6723,6775.0,,,,,,
1848-05-01,6693,6580.0,,,,,,
1848-06-01,6813,6685.0,,,,,,
1848-07-01,6868,6695.0,,,,,,
1848-08-01,6948,6745.0,,,,,,
1848-09-01,6838,6655.0,,,,,,
1848-10-01,6793,6665.0,,,,,,
1848-11-01,7118,6865.0,,,,,,
1848-12-01,6688,6575.0,,,,,,
1849-01-01,6823,6760.0,,,,,,
1849-02-01,7078,6720.0,,,,,,
1849-03-01,6828,6650.0,,,,,,
1849-04-01,6573,6580.0,,,,,,
1849-05-01,6633,6625.0,,,,,,
1849-06-01,6868,6705.0,,,,,,
1849-07-01,6828,6675.0,,,,,,
1849-08-01,6913,6680.0,,,,,,
1849-09-01,6703,6575.0,,,,,,
1849-10-01,6843,6675.0,,,,,,
1849-11-01,6813,6660.0,,,,,,
1849-12-01,6613,6690.0,,,,,,
1850-01-01,6498,6535.0,,,,,,
1850-02-01,7173,7045.0,,,,,,
1850-03-01,6853,6655.0,,,,,,
1850-04-01,6688,6660.0,,,,,,
1850-05-01,6718,6625.0,,,,,,
1850-06-01,6808,6655.0,,,,,,
1850-07-01,6848,6690.0,,,,,,
1850-08-01,6963,6720.0,,,,,,
1850-09-01,6778,6620.0,,,,,,
1850-10-01,6928,6745.0,,,,,,
1850-11-01,7103,6785.0,,,,,,
1850-12-01,7018,6780.0,,,,,,
1851-01-01,6718,6600.0,,,,,,
1851-02-01,6828,6625.0,,,,,,
1851-03-01,6778,6675.0,,,,,,
1851-04-01,6723,6730.0,,,,,,
1851-05-01,6748,6685.0,,,,,,
1851-06-01,6938,6705.0,,,,,,
1851-07-01,6888,6680.0,,,,,,
1851-08-01,6868,6780.0,,,,,,
1851-09-01,6768,6690.0,,,,,,
1851-10-01,6953,6785.0,,,,,,
1851-11-01,6918,6785.0,,,,,,
1851-12-01,6883,6595.0,,,,,,
1852-01-01,7048,6800.0,,,,,,
1852-02-01,6943,6860.0,,,,,,
1852-03-01,6663,6540.0,,,,,,
1852-04-01,6623,6510.0,,,,,,
1852-05-01,6763,6625.0,,,,,,
1852-06-01,6843,6720.0,,,,,,
1852-07-01,6743,6585.0,,,,,,
1852-08-01,6883,6735.0,,,,,,
1852-09-01,6903,6715.0,,,,,,
1852-10-01,6918,6855.0,,,,,,
1852-11-01,6918,6785.0,,,,,,
1852-12-01,7108,6805.0,,,,,,
